Username,Rapid Rating,Blitz Rating,Puzzle Rating
adensmore,1468,1404,2162
adensstinkynuts,1328,1199,2046
adenyii,592,395,1094
adept888,1285,917,1854
adeptwa,1040,731,1189
aderai,1142,774,1699
adfer2,870,635,643
adfhk,1301,1215,1649
adgypadgy,1497,1360,1169
adhaero,1076,1054,1005
adhd69,761,771,1238
adheesh1,1506,1228,2085
adhvikvangapally,418,100,410
adhyanchess,745,440,438
adib195,721,670,414
adidash123,674,822,1242
adiiii83,1574,1208,2247
adikt_072,844,543,892
adil-kinggambit,939,840,806
adilly008,1126,1148,622
adilmousa,485,423,779
adimitriadis,1405,1008,1944
adimpost,830,650,401
adinch,1159,1101,1718
adinvinsora,769,726,525
adisethia,1316,1011,1753
adit1209,1240,1048,547
aditeshlal,707,864,391
adith009,1033,768,784
adithj,950,710,798
aditjoshi,761,267,1200
aditya1yer,520,497,1154
aditya2435,1232,896,2042
aditya730,1202,1007,1348
adityamalve110,791,430,415
adityamavuru,1134,896,950
adityasajeesh,696,474,656
adityasaxena4,1431,1319,2033
adityathe3rd,560,416,1071
aditya_dwi,1332,1333,1831
adivity,1582,1409,1901
adizzo,1011,1024,1211
adjacentmindwash,1016,877,800
adjdjdjdjdjdjd,310,455,423
adjoshi5,909,731,413
adlaalmo,996,1096,889
adlinedesign,805,485,800
admiral_byng,1240,989,982
admist12,642,613,1323
adnaebl,1333,668,1199
adneyud,1457,999,1064
adolfovalenciajurado,1012,832,1957
adollarbird,1220,859,1545
adon1kam,1269,1203,1439
adon886,746,534,1623
adon8887,815,453,821
adonislyf,800,102,665
adonky,667,576,612
adoow,812,538,1185
adorablecheck,579,624,498
adorablejigar,1277,1050,1105
ados200102,824,619,923
adosasarus-rex,929,495,786
adoumi,706,711,788
adour,738,986,1025
adox87,1519,1248,570
adpope619,896,403,531
adrarto,1179,1035,493
adriamoo,1167,881,988
adrian-5,1227,1215,1007
adrian1200,1346,806,512
adrian36,1048,795,2115
adrianathans,805,690,1611
adrianbeckitt,1017,432,423
adriancasabene,482,377,784
adrianccol,584,601,1256
adrianfreedman,1577,1189,1946
adrianginz,1134,866,1449
adrianhurst,1022,985,1188
adrianluu,733,533,586
adrianmarlowe,999,729,1093
adrianraspberry,984,797,992
adrianrivadeneira,316,426,809
adrians30not,100,323,435
adrian_brereton,1538,1519,1886
adrian_cho,1737,1761,861
adrian_stock,1253,1053,1309
adriatic,837,854,1024
adriatik1979,1109,997,523
